source_intervention_name,canonical_molecule,match_confidence,rule_or_reason
"DRUG: Resveratrol, Quercetin, and Curcumin (RQC)",COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
DRUG: Dasatinib + Quercetin,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
OTHER: Collagen and maltodextrin,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
OTHER: Cannabis 50 mg of CBD and 5 mg of THC,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
DRUG: [18F]RP-115 PET/MRI or PET/CT and MRI,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
DRUG: X/T + X-EC,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
DRUG: KarXT + KarX-EC Arm Matching Placebo,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
DRUG: 6 cm2 - 1 Active and 1 Placebo DMTS Patches,COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
"COMBINATION_PRODUCT: Hormones and Medications tailored to lab tests, combined with devices that support stress management and brain exercises",COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
"DRUG: Angiotensin II Receptor Blockers (ARBs, losartan) and Calcium Channel Blockers (CCB, amlodipine)",COMBINATION,Low,CT.gov combination intervention (contains '+' or 'and')
DRUG: ACP-204,ACP-204,High,Fuzzy normalized name match (similarity=1.00)
DRUG: AR1001,AR1001,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Donanemab,Donanemab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Donepezil,Donepezil,High,Fuzzy normalized name match (similarity=1.00)
DRUG: E2814,E2814,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Escitalopram,Escitalopram,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Gantenerumab,Gantenerumab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Guanfacine,Guanfacine,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Lecanemab 10 mg/kg,Lecanemab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Lecanemab,Lecanemab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: lecanemab,Lecanemab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Masitinib (4.5),Masitinib,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Masupirdine 50 mg,Masupirdine,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Masupirdine 100 mg,Masupirdine,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Nabilone,Nabilone,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Piromelatine 20 mg,Piromelatine,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Remternetug (IV),Remternetug,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Remternetug (SC),Remternetug,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Remternetug,Remternetug,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Semaglutide,Semaglutide,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Semaglutide (Rybelsus®),Semaglutide,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Solanezumab,Solanezumab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Tricaprilin,Tricaprilin,High,Fuzzy normalized name match (similarity=1.00)
DRUG: 20g Astragalus,Astragalus,High,Fuzzy normalized name match (similarity=1.00)
DRUG: 10g Astragalus,Astragalus,High,Fuzzy normalized name match (similarity=1.00)
DRUG: BIIB080,BIIB080,High,Fuzzy normalized name match (similarity=1.00)
DRUG: BMS-986446,BMS-986446,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Brivaracetam,Brivaracetam,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Bumetanide,Bumetanide,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Cannabidiol,Cannabidiol,High,Fuzzy normalized name match (similarity=1.00)
DRUG: CORT108297,CORT108297,High,Fuzzy normalized name match (similarity=1.00)
DRUG: CT1812,CT1812,High,Fuzzy normalized name match (similarity=1.00)
