NCT Number,canonical_molecule,Sponsor,Country,City,Hospital / Facility,Site PI Name,PI Title / Role,PI Email,Source,Notes
NCT07177352,,Hoffmann-La Roche,Denmark,Aalborg,Aalborg Universitetshospital,,,,https://clinicaltrials.gov/study/NCT07177352,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07177352,,Hoffmann-La Roche,Denmark,Aarhus N,Aarhus Universitetshospital Skejby,,,,https://clinicaltrials.gov/study/NCT07177352,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07177352,,Hoffmann-La Roche,Denmark,København Ø,"Rigshospitalet, Hukommelsesklinikken",,,,https://clinicaltrials.gov/study/NCT07177352,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07170150,Trontinemab,Hoffmann-La Roche,Denmark,Aalborg,Aalborg Universitetshospital,,,,https://clinicaltrials.gov/study/NCT07170150,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07170150,Trontinemab,Hoffmann-La Roche,Denmark,Aarhus N,Aarhus Universitetshospital Skejby,,,,https://clinicaltrials.gov/study/NCT07170150,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07170150,Trontinemab,Hoffmann-La Roche,Denmark,København Ø,"Rigshospitalet, Hukommelsesklinikken",,,,https://clinicaltrials.gov/study/NCT07170150,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT05891496,Semaglutide,Novo Nordisk A/S,Denmark,København Ø,Rigshospitalet - afsnit 8015,,,,https://clinicaltrials.gov/study/NCT05891496,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT05891496,Semaglutide,Novo Nordisk A/S,Sweden,Stockholm,"Karolinska Universitetssjukhuset, Huddinge",,,,https://clinicaltrials.gov/study/NCT05891496,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT05068830,,Norwegian University of Science and Technology,Norway,Trondheim,"Department of Neurology and Clinical Neurophysiology, St Olavs Hospital",,,,https://clinicaltrials.gov/study/NCT05068830,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT05531526,AR1001,"AriBio Co., Ltd.",Denmark,Gandrup,Sanos Clinic - Gandrup,,,,https://clinicaltrials.gov/study/NCT05531526,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT05531526,AR1001,"AriBio Co., Ltd.",Denmark,Herlev,Sanos Clinic - Herlev,,,,https://clinicaltrials.gov/study/NCT05531526,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT05531526,AR1001,"AriBio Co., Ltd.",Denmark,Vejle,Sanos Clinic Syddanmark - Vejle,,,,https://clinicaltrials.gov/study/NCT05531526,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06976203,,Bristol-Myers Squibb,Finland,North Ostrobothnia,"Terveystalo Oulu, Oulu",,,,https://clinicaltrials.gov/study/NCT06976203,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06976203,,Bristol-Myers Squibb,Finland,Southwest Finland,"Local Institution - 0009, Turku",,,,https://clinicaltrials.gov/study/NCT06976203,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06976203,,Bristol-Myers Squibb,Finland,Uusimaa,"CRST Helsinki Oy, Helsinki",,,,https://clinicaltrials.gov/study/NCT06976203,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06976203,,Bristol-Myers Squibb,Finland,Helsinki,Terveystalo Ruoholahti,,,,https://clinicaltrials.gov/study/NCT06976203,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06976203,,Bristol-Myers Squibb,Finland,Kuopio,Itä-Suomen Yliopisto Kuopio,,,,https://clinicaltrials.gov/study/NCT06976203,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07105709,,GlaxoSmithKline,Sweden,Gothenburg,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT07105709,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07105709,,GlaxoSmithKline,Sweden,Malmo,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT07105709,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT07105709,,GlaxoSmithKline,Sweden,Stockholm,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT07105709,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06402838,RO7269162,Hoffmann-La Roche,Denmark,Aarhus N,Aarhus Universitetshospital Skejby,,,,https://clinicaltrials.gov/study/NCT06402838,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06402838,RO7269162,Hoffmann-La Roche,Denmark,Koebenhavn Oe,"Rigshospitalet, Hukommelsesklinikken",,,,https://clinicaltrials.gov/study/NCT06402838,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Finland,Helsinki,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Finland,Kuopio,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Finland,Oulu,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Finland,Turku,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Norway,Bergen,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Norway,Oslo,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Norway,Stavanger,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Sweden,Gothenburg,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Sweden,Malmo,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06079190,,GlaxoSmithKline,Sweden,Stockholm,GSK Investigational Site,,,,https://clinicaltrials.gov/study/NCT06079190,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT06268886,BMS-986446,Bristol-Myers Squibb,Sweden,M,"Local Institution - 0167, Malmo",,,,https://clinicaltrials.gov/study/NCT06268886,PI not listed in public record (CT.gov typically does not publish site-level PI names)
NCT03887455,,Eisai Inc.,Sweden,Västra Götalandslän,"Sahlgrenska University Hospital, Gothenburg",,,,https://clinicaltrials.gov/study/NCT03887455,PI not listed in public record (CT.gov typically does not publish site-level PI names)
